IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,IMF9,IMF10,Res
5.099824951,0.733621503,-0.675368727,0.295486139,0.569804675,-0.440925292,0.520913333,-0.527378734,-0.312224069,0.291868076,28.04437815
5.111028113,0.733478566,-0.696740442,0.285610254,0.579079047,-0.610630349,0.714577248,-0.35613297,0.103954956,-1.033321831,28.02909741
5.122265839,0.733293758,-0.718095582,0.274527574,0.589479786,-0.816245867,0.938685044,0.02215671,0.132082612,0.948070863,28.01377926
5.133541984,0.73306264,-0.739396417,0.262121454,0.601233302,-1.060687341,1.19501207,0.583897476,-0.076911796,-0.09029406,27.99842069
5.1448139,0.732833909,-0.761071084,0.249633875,0.611704262,-1.318114781,1.473436131,1.419322978,-0.577874572,-0.40773965,27.98305503
5.156094045,0.732593293,-0.782995831,0.236695598,0.621644668,-1.597025163,1.778327147,2.557239768,-1.532581638,0.45233557,27.96767254
5.16665693,0.732494684,-0.802542115,0.224228552,0.625525494,-1.777408565,1.85711736,2.669858597,-1.527623934,-0.340766819,27.95245982
5.176423189,0.73255925,-0.819487252,0.212460346,0.622477104,-1.844638205,1.683541913,1.661183983,-0.518237849,0.776277803,27.93743972
5.185740853,0.732704801,-0.834971796,0.200691666,0.615613456,-1.861411424,1.379544225,0.192930464,2.264291446,-0.017651726,27.92251804
5.194397383,0.732977494,-0.848242522,0.189222175,0.603241491,-1.792539439,0.871992696,-2.092972484,7.31397138,-2.729798221,27.90775005
5.202797738,0.733300773,-0.86090588,0.177812528,0.587884088,-1.701400733,0.30423287,-3.211526255,3.777140192,2.657627793,27.89303688
5.210956437,0.733670985,-0.873007585,0.166423144,0.569669519,-1.591378155,-0.317664193,-2.981280498,-8.963772297,-0.074405589,27.8783745
5.218475911,0.734168955,-0.883056529,0.155451898,0.545762971,-1.39879812,-1.131865263,-2.663307844,-8.009073094,-0.755095598,27.86386318
5.225427429,0.73478155,-0.891341642,0.144863763,0.516576191,-1.135209863,-2.112251411,-1.743137074,5.621833458,1.648971873,27.84948573
5.23234675,0.735380408,-0.899590615,0.13353093,0.487023927,-0.897239273,-2.637532009,-0.891977038,6.185018751,0.347942115,27.83509606
5.239218723,0.735967351,-0.907729564,0.121427212,0.457056963,-0.683699285,-2.667369243,-0.231177407,-3.150430829,-6.907158289,27.82069729
5.245821083,0.736598065,-0.91507957,0.109088276,0.42447354,-0.454286736,-2.480640589,0.996402446,-3.573920688,7.115192753,27.80635142
5.252275994,0.73724268,-0.922026929,0.096236098,0.390417644,-0.231833717,-1.907425563,2.634720025,1.384060246,-0.715691288,27.79202481
5.258147033,0.738001256,-0.927100945,0.083647572,0.35111987,0.058999401,-1.346994927,3.183114451,1.654359758,-1.771127408,27.77783394
5.263395858,0.738882774,-0.930176559,0.071393274,0.306224307,0.424314675,-0.819970206,2.6050984,-0.386430357,0.613478681,27.76378915
5.268331701,0.739814569,-0.932272477,0.058863412,0.258478748,0.808746996,0.022383647,1.507801793,-0.448319952,-0.053635382,27.74980695
5.272847627,0.740820999,-0.933027124,0.046240782,0.206957459,1.23017798,1.099928217,-0.495559173,0.276543981,-0.010846524,27.73591578
5.277424714,0.741814404,-0.934395665,0.033346639,0.154491621,1.535181066,1.716750106,-1.454265452,0.25297982,-0.02532729,27.72200004
5.282136541,0.742779668,-0.936653364,0.020098895,0.101599706,1.702900053,1.852466029,-1.219357725,-0.043275973,0.17926508,27.70804109
5.286672578,0.743777011,-0.938593787,0.006717084,0.046222239,1.818801099,1.786087955,-1.065167426,-0.21654134,-0.192091043,27.69411563
5.291172962,0.744780521,-0.940781999,-0.006864787,-0.010804835,1.837536666,1.335655812,-0.508063093,-0.440578713,0.087757689,27.68018978
5.295420856,0.745826233,-0.942288046,-0.0206766,-0.070580197,1.835318092,0.999547413,-0.173149733,-0.231011631,0.035279922,27.66631369
5.299390074,0.746919288,-0.943012455,-0.034701214,-0.133294488,1.817160718,0.802674611,-0.199837215,0.495880948,-0.123674158,27.65249389
5.303311891,0.74801893,-0.943916188,-0.048984417,-0.197673361,1.703843239,0.340000403,0.104371623,0.484191071,0.208161224,27.63867558
