Power,100mspd,10mspd,Pre,Hum,Cloud,10mdir,Temp,Irra,Rain,100mdir
20.6758254,11.3658,9.4299,102305.5577,87.9153,0.65986,17.8919,285.7198,248.7791,9.28E-06,18.7979
21.27245713,11.5925,9.5681,102304.8322,87.4232,0.72959,18.9638,285.8268,219.6186,1.14E-05,19.835
35.47,11.8469,9.7179,102305.6984,86.8758,0.80952,20.2944,285.9674,190.464,1.36E-05,21.0955
33.84,12.1217,9.8794,102307.9375,86.2766,0.88281,21.4482,286.0945,161.0739,1.53E-05,22.1723
36.03,12.4018,10.0451,102311.46,85.6776,0.93616,22.111,286.1716,131.457,1.60E-05,22.7828
37.96,12.6644,10.1977,102316.6944,85.3242,0.97048,22.3561,286.2044,102.6225,1.60E-05,23.0075
37.16,12.8871,10.3197,102324.1988,85.5097,0.99027,22.3422,286.2088,75.8297,1.57E-05,23.0019
38.59,13.0482,10.3944,102334.5313,86.528,1,22.2162,286.2011,52.3378,1.53E-05,22.907
38.65,13.1315,10.4099,102348.0312,88.5453,1,22.0886,286.1946,33.165,1.51E-05,22.8242
36.85,13.1418,10.3736,102364.1637,91.2193,1,21.9561,286.1925,18.3654,1.53E-05,22.7347
36.27,13.089,10.2974,102382.1753,94.0804,1,21.7876,286.1951,7.752,1.53E-05,22.5909
35.09,12.9833,10.1935,102401.3125,96.659,1,21.5513,286.2031,1.1378,1.53E-05,22.3438
35.37,12.8403,10.0769,102420.7911,98.5539,1,21.2313,286.2159,0,1.53E-05,21.9664
34.21,12.6957,9.9733,102439.7036,99.6362,1,20.8829,286.2299,0,1.53E-05,21.5331
35.86,12.59,9.9111,102457.112,99.8454,1,20.5844,286.2405,0,1.53E-05,21.1519
34.93,12.563,9.9182,102472.0781,99.1209,1,20.4192,286.2433,0,1.53E-05,20.9387
34.17,12.6371,10.0085,102483.968,97.4745,1,20.4327,286.2355,0,1.53E-05,20.9644
33.04,12.7665,10.1394,102493.3646,95.2065,1,20.5232,286.2222,0,1.53E-05,21.1158
33.25,12.8882,10.2542,102501.155,92.6899,1,20.5571,286.2105,0,1.53E-05,21.2373
34.82,12.9389,10.2961,102508.2266,90.2972,1,20.4066,286.2073,0,1.53E-05,21.1808
34.96,12.8744,10.2266,102515.1899,88.3332,1,19.9796,286.2171,0,1.50E-05,20.8401
30.68,12.726,10.0788,102521.55,86.8297,1,19.337,286.2343,0,1.50E-05,20.2759
31.56,12.5432,9.9032,102526.5355,85.7506,1,18.5847,286.2511,0,1.48E-05,19.5943
33.33,12.3748,9.7496,102529.375,85.0597,1,17.8472,286.2592,0,1.53E-05,18.9139
34.4,12.2576,9.6551,102529.4557,84.6625,0.96823,17.2498,286.2531,0,1.62E-05,18.3511
36.49,12.184,9.6112,102526.7996,84.2319,0.91801,16.8424,286.236,0,1.68E-05,17.9534
35.08,12.1359,9.5982,102521.5874,83.3825,0.85018,16.6466,286.2134,0,1.71E-05,17.7458
22.5954689,12.0952,9.5969,102514,81.7286,0.76563,16.6779,286.191,0,1.53E-05,17.7494
22.46914194,12.0472,9.5902,102504.4861,79.1221,0.66928,16.9027,286.1728,0,1.16E-05,17.94
22.30991733,11.9867,9.5693,102494.5671,76.3627,0.58248,17.1009,286.1573,0,8.33E-06,18.1142
31.23,11.911,9.5272,102486.0325,74.4874,0.5306,17.0042,286.1414,0,8.57E-06,18.0202
29.92,11.818,9.4573,102480.6719,74.5329,0.53906,16.3363,286.1223,0,1.53E-05,17.398
30.86,11.7133,9.3625,102479.5541,77.0843,0.62257,14.9484,286.098,0,3.01E-05,16.1098
31.91,11.6168,9.2686,102480.8657,80.9185,0.75307,13.2659,286.072,0,4.97E-05,14.5541
31.58,11.5431,9.1982,102482.0726,84.3602,0.89179,11.8927,286.0489,0,6.92E-05,13.2873
29.05,11.4977,9.1658,102480.6406,85.7345,1,11.4608,286.0333,0,8.39E-05,12.8837
28.65,11.4873,9.183,102474.5336,83.8661,1,12.3908,286.0281,0,9.04E-05,13.7293
32.38,11.5275,9.255,102463.7065,79.5793,1,14.2415,286.0296,0,9.05E-05,15.4345
32.72,11.6317,9.3806,102448.6121,74.1986,1,16.3478,286.0323,0,8.72E-05,17.3985
34.06,11.8002,9.5463,102429.7031,69.0481,1,18.0703,286.0307,0,8.39E-05,19.0251
33.42,12.0134,9.7252,102407.8726,65.258,1,18.9329,286.0203,0,8.30E-05,19.855
33.16,12.2211,9.8802,102385.7741,63.1813,1,18.9228,286.0001,0,8.44E-05,19.8639
29.92,12.3722,9.9782,102366.5014,62.9771,1,18.1237,285.9702,0,8.75E-05,19.128
31.88,12.4219,9.9915,102353.1484,64.8043,1,16.5842,285.9305,0,9.16E-05,17.6938
31.39,12.3484,9.9108,102347.6657,68.5747,1,14.4068,285.8826,0,9.57E-05,15.658
28.9,12.1995,9.7784,102347.4306,73.2124,1,12.0932,285.8337,0,9.84E-05,13.491
32.35,12.0244,9.6351,102348.6775,77.3944,1,10.3062,285.7926,0,9.76E-05,11.81
33.45,11.8583,9.5089,102347.6406,79.7978,1,9.7796,285.7681,0,9.16E-05,11.2982
35.19,11.7341,9.4253,102341.7215,79.5617,1,10.9963,285.7658,0,8.03E-05,12.4117
34.44,11.6708,9.3947,102332.9908,77.6741,1,13.2459,285.7782,0,7.15E-05,14.4955
35.94,11.6705,9.4108,102324.6866,75.5848,1,15.4796,285.7948,0,7.46E-05,16.569
21.58090547,11.7097,9.4437,102320.0469,74.7441,1,16.6589,285.8049,0,9.92E-05,17.4391
36.8,11.7589,9.4616,102321.4027,76.1619,1,16.0989,285.8011,0,0.00015061,17.079
33.61,11.8138,9.4712,102327.4568,79.0886,1,14.3901,285.7894,0,0.00021753,15.4321
31.67,11.8732,9.4863,102336.0052,82.3347,1,12.4349,285.779,0,0.0002844,13.5637
31.93,11.9172,9.5042,102344.8438,84.7108,1,11.1341,285.7792,0,0.00033569,12.3089
33.26,11.9204,9.5127,102352.4225,85.3799,0.98648,11.1473,285.7956,0,0.00036009,12.2719
32.12,11.8899,9.5109,102359.8089,84.9151,0.98864,12.2073,285.8206,0,0.00036304,13.2134
30.67,11.8463,9.5054,102368.7244,84.2421,1,13.8202,285.8426,0,0.00035423,14.6916
33.39,11.8064,9.4984,102380.8906,84.2866,1,15.4923,285.8506,0,0.00034332,16.2577
34.04,11.7783,9.4871,102397.4216,85.7118,1,16.8258,285.837,0,0.00033797,17.5378
33.64,11.7676,9.4785,102417.0011,88.1304,0.99072,17.8036,285.8096,0,0.00033779,18.4977
31.1,11.7818,9.4843,102437.705,90.8926,0.9904,18.4999,285.7799,0,0.00034037,19.1893
33.86,11.8298,9.5179,102457.6094,93.3487,1,18.9863,285.7596,0.28444,0.00034332,19.6652
36.37,11.9177,9.5888,102475.1709,95.0013,1,19.3266,285.7557,4.1992,0.00034475,19.9777
35.26,12.0363,9.6893,102490.3685,95.9627,1,19.5557,285.7569,9.8047,0.0003444,20.1755
37.64,12.1733,9.807,102503.5615,96.4975,1,19.7035,285.7475,16.41,0.00034411,20.3074
36.31,12.3161,9.93,102515.1094,96.8705,1,19.8,285.7116,23.3244,0.00034332,20.4212
